Index,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntRegularProds,MntGoldProds,MntTotal,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmpOverall,Complain,Age,Customer_Days,marital_status,education
1058,61823,0,1,26,523,7,134,37,14,546,169,715,4,8,2,10,7,0,0,0,0,0,0,0,68,2655,Single,Graduation
1059,67680,0,1,8,546,0,48,0,6,594,6,600,1,7,3,8,5,0,0,0,0,0,0,0,69,2542,Widow,PHD
1060,70666,0,0,29,398,40,367,119,122,1016,30,1046,1,7,4,4,4,0,0,0,0,0,0,0,72,2364,Together,Graduation
1061,25721,1,0,75,1,3,6,3,6,4,15,19,1,1,1,2,7,0,0,0,0,0,0,0,49,2563,Married,Graduation
1062,32474,1,1,0,10,0,1,0,0,11,0,11,1,1,0,2,7,0,0,0,0,0,0,0,53,2208,Together,Graduation
1063,88194,0,1,19,688,14,309,201,24,1198,38,1236,1,11,10,10,5,1,0,1,0,0,2,0,41,2261,Single,2n Cycle
1064,69096,0,1,4,247,49,159,7,82,435,109,544,1,5,2,10,4,0,0,0,0,0,0,0,62,2434,Together,Graduation
1065,74854,1,2,90,856,59,487,58,29,1416,73,1489,7,2,5,5,5,0,0,0,0,0,0,0,50,2606,Together,Graduation
1066,66991,0,0,1,496,36,460,189,60,1229,12,1241,3,4,8,6,3,0,0,0,0,0,0,0,66,2815,Married,Master
1067,65031,0,1,29,258,107,291,84,37,691,86,777,4,10,3,13,7,0,0,0,0,0,0,0,61,2628,Married,Graduation
1068,60631,1,1,88,565,6,65,0,6,623,19,642,5,9,2,8,7,0,0,0,1,0,1,0,45,2609,Married,PHD
1069,28332,0,0,58,14,10,13,4,15,47,9,56,1,2,1,4,2,0,0,0,0,0,0,0,68,2219,Married,Graduation
1070,40246,1,0,68,2,1,6,2,1,11,1,12,1,1,0,2,6,0,0,0,0,0,0,0,43,2716,Divorced,Graduation
1071,75251,0,0,34,721,111,925,97,18,1854,18,1872,1,7,6,5,5,0,0,0,0,0,0,0,48,2830,Married,Master
1072,75825,0,0,40,1032,105,779,137,105,2107,51,2158,0,5,8,9,4,0,0,1,0,0,1,0,44,2784,Single,Graduation
1073,26326,0,0,12,1,0,5,0,3,0,9,9,1,0,0,3,3,0,0,0,0,0,0,1,44,2457,Together,2n Cycle
1074,56046,0,0,9,577,0,64,0,0,590,51,641,2,10,1,8,8,0,0,1,0,0,1,0,55,2702,Together,Graduation
1075,29760,1,0,87,64,4,68,7,5,131,17,148,4,3,1,4,8,0,0,0,0,0,0,0,35,2828,Single,Graduation
1076,26304,1,0,5,4,1,5,2,0,8,4,12,1,1,0,2,7,0,0,0,0,0,0,0,51,2530,Married,Graduation
1077,23559,1,0,87,25,5,19,7,0,33,23,56,3,3,0,3,7,0,0,0,0,0,0,0,47,2520,Married,2n Cycle
1078,38620,0,0,56,112,17,44,34,22,140,89,229,1,2,5,3,3,0,0,0,0,0,0,0,57,2573,Together,Master
1079,81361,0,0,18,163,23,424,27,65,626,76,702,1,3,10,13,1,0,0,0,0,0,0,0,33,2283,Divorced,Graduation
1080,29440,1,1,95,17,8,14,10,4,50,3,53,2,1,0,4,7,0,0,0,0,0,0,0,60,2481,Married,Graduation
1081,36138,1,1,48,130,0,16,0,0,141,5,146,5,3,1,4,7,0,0,0,1,0,1,0,50,2507,Married,Master
1082,50388,0,1,3,292,6,37,0,3,304,34,338,4,6,1,6,7,1,0,0,1,0,2,0,63,2191,Single,Graduation
1083,79593,0,0,70,350,60,568,110,133,1076,145,1221,1,5,6,7,2,0,0,0,0,1,1,0,47,2207,Married,Graduation
1084,54178,0,1,79,135,9,39,4,0,180,7,187,1,2,2,5,2,0,0,0,0,0,0,0,53,2318,Together,Graduation
1085,42394,1,0,69,15,2,10,0,1,24,4,28,1,1,0,3,7,0,0,0,0,0,0,0,48,2257,Single,Master
1086,23626,1,0,84,27,2,14,0,0,43,0,43,3,3,1,3,5,0,0,0,0,0,0,0,50,2195,Married,PHD
1087,30096,1,0,30,5,3,11,12,5,27,9,36,1,2,0,3,6,0,0,0,0,0,0,0,37,2197,Married,Graduation
1088,47916,0,1,72,505,0,26,0,0,456,75,531,5,7,4,6,6,0,0,0,1,0,1,0,60,2743,Widow,Graduation
1089,51813,1,1,37,51,2,7,0,1,59,2,61,2,2,0,3,7,0,0,0,0,0,0,0,48,2603,Divorced,Graduation
1090,78497,0,0,44,207,26,447,75,0,532,223,755,1,5,7,12,2,1,0,0,0,0,1,0,69,2369,Married,2n Cycle
1091,50150,0,0,32,135,46,92,65,61,388,11,399,2,5,2,7,5,0,0,0,0,0,0,0,37,2533,Married,PHD
1092,47823,0,1,0,53,1,5,2,1,52,10,62,2,2,0,3,8,0,0,0,0,0,0,0,60,2500,Single,2n Cycle
1093,34554,0,1,43,41,1,6,2,0,45,5,50,2,2,0,3,6,0,0,0,0,0,0,0,61,2250,Single,PHD
1094,85693,0,1,59,386,172,183,185,132,947,111,1058,2,9,5,11,5,0,0,0,0,0,0,0,41,2594,Together,Graduation
1095,65846,0,0,68,562,81,276,80,40,958,81,1039,1,6,3,6,4,0,0,0,0,0,0,0,75,2567,Married,PHD
1096,87195,0,0,35,217,76,690,50,26,1021,38,1059,1,3,11,5,1,0,0,0,0,0,0,0,61,2211,Married,Graduation
1097,24594,1,0,94,1,3,6,10,0,11,9,20,1,1,0,3,5,0,0,0,0,0,0,0,41,2360,Together,Basic
1098,49096,1,1,15,144,1,32,2,1,173,7,180,4,4,1,4,7,0,0,0,0,0,0,0,56,2437,Married,Graduation
1099,52413,0,2,56,295,106,271,75,98,780,65,845,4,6,4,12,6,0,0,0,0,0,0,0,51,2671,Married,Graduation
1100,38557,1,0,17,76,3,31,4,4,91,27,118,2,3,1,3,7,0,0,0,0,0,0,0,42,2716,Single,Graduation
1101,89058,0,0,18,454,194,106,31,22,764,43,807,1,5,4,4,2,0,0,0,0,0,0,0,60,2728,Married,Master
1102,77298,0,1,46,425,115,292,23,35,811,79,890,1,6,6,11,3,0,0,0,0,0,0,0,41,2398,Together,Graduation
1103,68126,0,0,40,1332,17,311,23,51,1648,86,1734,1,7,4,5,9,0,0,0,1,0,1,0,29,2755,Single,PHD
1104,57288,0,1,27,527,0,21,0,0,488,60,548,3,8,1,8,6,0,0,0,1,0,1,0,57,2163,Together,Master
1105,86037,0,0,95,490,44,125,29,20,686,22,708,1,6,7,11,3,0,0,0,1,1,2,0,29,2702,Single,Graduation
1106,43974,1,0,19,378,0,101,0,0,407,72,479,5,6,4,6,7,0,0,0,0,0,0,0,40,2723,Married,PHD
1107,50785,1,1,27,64,1,21,0,1,60,27,87,2,2,1,3,6,0,0,0,0,0,0,0,58,2451,Single,Graduation
1108,90765,0,0,25,547,99,812,151,82,1658,33,1691,0,4,6,5,1,1,0,0,0,1,2,0,50,2315,Married,Graduation
1109,36550,1,0,74,47,90,94,123,103,337,120,457,5,9,1,5,9,0,0,0,0,0,0,0,42,2654,Married,2n Cycle
1110,30753,1,1,85,12,5,25,0,9,21,30,51,2,1,1,3,5,0,0,0,0,0,0,0,53,2512,Together,2n Cycle
1111,21918,1,0,37,1,6,7,11,5,27,3,30,2,2,0,3,6,0,0,0,0,0,0,0,51,2386,Together,Graduation
1112,56129,0,1,65,320,48,133,39,72,564,48,612,4,6,2,10,4,0,0,0,0,0,0,0,67,2533,Together,Master
1113,32557,1,0,13,34,3,29,0,4,60,10,70,3,2,1,3,5,0,0,0,0,0,0,0,53,2284,Single,Master
1114,19510,2,0,63,9,0,7,3,4,16,7,23,2,1,0,3,7,0,0,0,0,0,0,0,35,2457,Married,Master
1115,30992,1,0,83,17,0,14,7,3,39,2,41,1,1,0,3,7,0,0,0,0,0,0,0,44,2592,Divorced,Graduation
1116,101970,0,0,69,722,27,102,44,72,799,168,967,0,6,8,13,2,1,0,0,1,1,3,0,37,2633,Single,Graduation
1117,71488,0,0,87,162,33,124,40,28,215,172,387,2,3,4,7,1,0,0,0,0,0,0,0,55,2655,Together,2n Cycle
1118,79607,0,0,37,450,133,951,173,0,1491,216,1707,1,3,6,6,1,0,0,0,0,0,0,0,36,2593,Single,Graduation
1119,54348,1,1,51,70,0,16,0,0,82,4,86,2,2,0,4,6,0,0,0,0,0,0,0,67,2180,Married,Master
1120,77376,1,1,72,492,19,110,16,12,637,12,649,4,6,3,10,4,0,0,0,0,0,0,0,64,2209,Together,PHD
1121,62998,0,1,10,120,58,73,65,89,347,58,405,5,5,4,5,5,0,0,0,0,0,0,0,68,2431,Married,Graduation
1122,61331,1,1,42,534,5,47,0,5,550,41,591,5,11,1,6,8,0,0,0,0,0,0,0,62,2635,Single,Master
1123,73448,0,0,10,236,106,189,23,41,465,130,595,1,7,2,9,4,0,0,0,0,0,0,0,51,2298,Married,Graduation
1124,41551,1,1,51,220,0,33,3,0,233,23,256,5,5,1,5,8,0,0,0,0,0,0,0,56,2478,Married,PHD
1125,62981,0,0,21,796,14,590,38,44,1482,0,1482,1,4,5,13,3,0,0,0,1,0,1,0,53,2628,Together,PHD
1126,9548,1,0,31,0,1,3,10,6,11,9,20,2,1,0,3,8,0,0,0,0,0,0,0,44,2849,Divorced,Basic
1127,33762,2,1,61,53,1,34,2,0,74,16,90,3,2,2,2,8,0,0,0,0,0,0,0,61,2516,Married,PHD
1128,35860,1,1,37,15,0,8,4,2,9,20,29,2,1,1,2,5,0,0,1,0,0,1,0,47,2200,Single,PHD
1129,36921,1,1,74,17,1,12,3,1,30,4,34,2,2,0,3,7,0,0,0,0,0,0,0,55,2495,Divorced,PHD
1130,92859,0,0,46,962,61,921,52,61,2037,20,2057,1,5,4,12,2,0,0,0,0,0,0,0,28,2777,Single,Master
1131,65104,0,1,4,738,0,232,13,20,953,50,1003,2,3,5,7,7,0,0,0,0,0,0,0,44,2386,Together,Master
1132,86111,0,0,73,399,28,756,36,40,1133,126,1259,1,5,7,10,2,0,0,0,0,0,0,0,58,2595,Married,Graduation
1133,68352,0,1,47,614,16,132,43,33,805,33,838,3,8,5,9,6,0,0,0,0,0,0,0,46,2464,Single,PHD
1134,41883,1,0,13,32,34,41,73,16,80,116,196,3,4,2,3,7,0,0,0,0,0,0,0,32,2626,Together,Graduation
1135,59809,0,2,36,598,16,141,32,41,779,49,828,3,3,3,6,8,0,0,0,0,0,0,0,44,2778,Married,Graduation
1136,23957,1,0,47,2,1,18,20,11,36,16,52,1,2,0,3,6,0,0,0,0,0,0,0,45,2768,Married,Graduation
1137,38547,1,0,49,6,1,10,0,1,14,4,18,1,1,0,2,8,0,0,0,0,0,0,1,39,2464,Together,Graduation
1138,35688,2,1,94,73,3,90,12,1,147,32,179,7,4,1,4,8,0,0,0,0,0,0,0,47,2835,Married,2n Cycle
1139,49605,0,0,65,42,16,29,12,20,111,8,119,1,2,1,4,3,0,0,0,0,0,0,0,54,2167,Married,Master
1140,59354,0,2,59,295,21,78,39,13,433,13,446,1,4,4,7,3,0,0,0,0,0,0,0,67,2225,Married,Master
1141,65747,0,1,96,346,17,48,23,13,434,13,447,4,8,1,6,6,0,0,0,1,0,1,0,51,2273,Married,Graduation
1142,46344,0,1,28,233,20,57,8,20,247,91,338,4,7,1,5,7,0,0,0,0,0,0,0,48,2721,Together,2n Cycle
1143,34176,1,0,12,5,7,24,19,14,49,20,69,4,3,0,4,6,0,0,0,0,0,0,0,32,2207,Single,Graduation
1144,61010,0,1,57,888,0,57,0,0,869,76,945,2,8,5,11,5,0,0,0,0,0,0,0,68,2787,Together,PHD
1145,69372,0,0,10,997,26,269,34,13,1297,42,1339,1,10,4,6,4,0,0,0,1,1,2,0,71,2654,Together,Graduation
1146,49967,0,1,4,212,6,69,4,12,300,3,303,3,6,1,5,7,0,0,0,0,0,0,0,62,2515,Single,Graduation
1147,60199,1,2,49,8,1,7,2,0,18,0,18,1,0,0,3,4,0,0,0,0,0,0,0,42,2449,Single,Graduation
1148,55375,0,1,3,42,11,57,10,28,134,14,148,1,1,1,6,2,0,0,0,0,0,0,0,43,2414,Together,Graduation
1149,80317,0,0,64,536,11,387,149,91,1117,57,1174,1,3,4,10,1,0,0,0,0,0,0,0,65,2472,Single,Graduation
1150,30523,2,1,0,5,0,3,0,0,3,5,8,1,1,0,2,7,0,0,0,0,0,0,0,62,2522,Single,Master
1151,70356,0,0,20,1349,16,249,43,16,1640,33,1673,2,10,6,9,6,0,0,0,0,0,0,0,75,2760,Married,PHD
1152,23228,1,0,91,53,3,49,7,4,111,5,116,4,3,0,4,8,0,0,0,0,0,0,0,36,2334,Married,Graduation
1153,74165,0,0,9,1001,12,240,16,12,1269,12,1281,1,5,4,10,2,0,0,0,0,0,0,0,45,2583,Divorced,PHD
1154,43482,2,1,83,18,1,32,6,3,32,28,60,3,2,0,4,6,0,0,0,0,0,0,0,54,2387,Together,Graduation
1155,62551,0,0,27,125,16,98,134,21,367,27,394,1,6,7,4,3,0,0,1,0,0,1,0,67,2382,Divorced,Graduation
1156,52332,0,0,63,212,5,33,7,0,255,2,257,1,3,2,6,4,0,0,0,1,0,1,0,61,2464,Divorced,Graduation
1157,66951,0,0,46,277,162,305,173,76,869,124,993,1,3,4,7,1,0,0,0,0,0,0,0,32,2398,Single,Graduation
1158,26091,1,1,84,15,10,19,8,17,49,20,69,3,2,1,3,5,0,0,0,0,0,0,0,63,2283,Together,Graduation
1159,33456,1,1,58,7,3,10,8,1,22,7,29,2,1,0,3,7,0,0,0,0,0,0,0,55,2228,Together,Graduation
1160,28718,1,0,78,12,4,6,11,8,25,16,41,2,2,0,3,8,0,0,0,0,0,0,0,38,2510,Married,Graduation
1161,50447,2,0,4,85,7,24,2,3,94,27,121,1,3,1,3,6,0,0,0,0,0,0,0,50,2228,Married,Graduation
1162,53537,1,1,17,81,0,6,0,0,81,6,87,2,2,1,3,5,0,0,0,0,0,0,0,61,2309,Together,PHD
1163,52074,0,1,77,59,0,12,0,0,23,48,71,1,2,2,2,4,0,0,1,0,0,1,0,53,2245,Single,Graduation
1164,80427,0,1,56,1149,71,449,69,71,1783,26,1809,1,11,8,8,5,0,0,0,0,0,0,0,45,2814,Married,PHD
1165,83837,0,0,79,847,66,119,86,89,1096,111,1207,1,9,10,5,4,1,0,0,1,0,2,0,72,2719,Married,PHD
1166,38853,1,1,90,29,0,14,0,0,41,2,43,2,2,0,3,7,0,0,0,0,0,0,0,50,2196,Married,PHD
1167,38285,2,1,96,2,0,5,2,0,8,1,9,1,0,0,3,2,0,0,0,0,0,0,0,61,2164,Together,Graduation
1168,78497,0,0,44,207,26,447,75,0,532,223,755,1,5,7,12,2,1,0,0,0,0,1,0,69,2369,Married,2n Cycle
1169,51650,0,1,81,152,3,22,2,5,177,7,184,1,4,1,4,5,0,0,0,0,0,0,0,44,2208,Married,PHD
1170,16248,1,0,77,12,11,10,3,12,39,9,48,3,2,1,3,6,0,0,0,0,0,0,0,32,2209,Married,2n Cycle
1171,66835,0,0,21,620,26,195,34,17,751,141,892,1,6,4,13,2,0,0,0,0,0,0,0,74,2433,Married,Master
1172,30477,1,0,16,47,1,6,0,0,42,12,54,1,1,1,3,6,0,0,0,0,0,0,0,36,2317,Married,Master
1173,28249,0,0,80,1,9,7,2,14,23,10,33,1,2,0,3,6,0,0,0,0,0,0,0,59,2173,Married,Basic
1174,25271,1,0,45,10,1,18,10,4,36,7,43,1,1,1,2,9,0,0,0,0,0,0,0,37,2730,Married,Graduation
1175,32303,0,1,63,35,0,2,0,0,35,2,37,2,1,0,4,5,0,0,0,0,0,0,0,50,2272,Single,PHD
1176,61286,0,1,34,356,0,107,19,9,374,117,491,2,7,1,8,5,0,0,0,0,0,0,0,54,2490,Married,Graduation
1177,74068,0,0,14,783,30,537,140,76,1551,15,1566,1,4,10,9,2,0,0,0,0,0,0,0,44,2626,Married,Graduation
1178,45759,1,1,13,42,1,18,3,0,60,4,64,2,2,0,3,7,0,0,0,0,0,0,0,56,2650,Married,PHD
1179,24882,1,0,52,1,4,10,29,0,8,36,44,1,1,1,2,6,0,0,1,0,0,1,0,42,2817,Together,Basic
1180,66973,0,0,98,466,22,432,147,113,1078,102,1180,1,8,7,12,3,0,0,0,0,0,0,0,31,2567,Together,PHD
1181,38872,1,0,93,23,3,21,3,19,47,22,69,2,3,0,3,8,0,0,0,0,0,0,0,32,2554,Married,Graduation
1182,51148,1,1,38,235,6,45,8,9,291,12,303,4,5,1,6,6,0,0,0,0,0,0,0,47,2655,Married,Graduation
1183,31353,1,1,24,10,0,10,3,1,17,7,24,2,1,1,2,8,0,0,0,0,0,0,0,43,2341,Married,Graduation
1184,69661,0,0,80,656,16,106,32,16,818,8,826,1,7,3,12,3,0,0,0,0,0,0,0,40,2206,Married,Master
1185,80067,0,0,82,519,17,813,27,173,1498,51,1549,1,4,6,6,2,0,0,0,0,1,1,0,66,2442,Married,Graduation
1186,86718,0,0,20,344,189,482,50,33,926,172,1098,1,5,6,5,2,0,0,0,0,0,0,0,66,2687,Married,Graduation
1187,46854,1,1,81,96,1,79,7,1,105,79,184,6,5,1,3,8,0,0,1,0,0,1,0,47,2249,Single,PHD
1188,69142,0,1,50,448,4,34,6,4,457,39,496,3,8,1,7,5,0,0,0,1,0,1,0,68,2159,Divorced,Graduation
1189,75922,0,0,60,265,138,553,224,23,1111,92,1203,1,4,4,9,1,0,0,0,0,0,0,0,52,2361,Single,Graduation
1190,63693,0,1,63,587,43,337,42,87,1042,54,1096,3,11,6,9,6,0,0,0,0,0,0,0,42,2417,Divorced,Graduation
1191,102160,0,0,54,763,29,138,76,176,1124,58,1182,0,7,9,10,4,1,0,0,1,1,3,0,43,2763,Together,PHD
1192,40637,1,1,72,22,0,13,0,0,32,3,35,2,1,0,3,7,0,0,0,0,0,0,0,55,2506,Single,PHD
1193,18890,0,0,5,6,4,1,7,2,5,15,20,1,0,1,2,6,0,0,1,0,0,1,0,36,2755,Single,Master
1194,29604,1,0,88,7,6,13,7,6,25,14,39,1,1,0,3,9,0,0,1,0,0,1,0,32,2362,Together,Graduation
1195,48721,1,1,50,81,18,113,47,13,251,21,272,6,4,2,5,6,0,0,0,0,0,0,0,57,2571,Divorced,Master
1196,44794,0,1,99,54,0,7,0,0,57,4,61,1,2,0,3,6,0,0,0,0,0,0,0,54,2180,Married,Graduation
1197,64497,0,1,17,1170,48,320,42,32,1420,192,1612,5,11,4,9,8,0,0,1,0,0,1,0,66,2816,Divorced,Graduation
1198,46097,0,1,11,72,24,68,65,4,225,8,233,5,3,1,6,4,0,0,0,0,0,0,0,64,2614,Together,Graduation
1199,77972,0,0,18,613,22,319,33,102,1077,12,1089,1,4,6,9,1,0,0,0,0,0,0,0,66,2262,Together,Graduation
1200,44377,1,1,70,224,0,30,0,0,244,10,254,8,5,1,5,8,0,0,0,0,0,0,0,52,2791,Married,PHD
1201,46014,1,1,21,410,0,59,19,9,453,44,497,10,7,1,8,7,0,0,0,0,0,0,0,46,2683,Together,Master
1202,70951,0,0,66,239,10,554,254,87,1090,54,1144,1,3,4,9,1,0,0,0,0,0,0,0,35,2580,Married,Graduation
1203,41443,1,0,79,171,7,171,25,19,304,89,393,6,8,1,5,8,0,0,0,0,0,0,0,43,2248,Married,Graduation
1204,52195,2,1,2,12,0,4,0,0,15,1,16,1,1,0,2,8,0,0,0,0,0,0,0,42,2207,Single,2n Cycle
1205,83790,0,0,81,1076,16,417,42,48,1583,16,1599,1,8,10,6,3,0,0,0,1,1,2,0,72,2385,Married,Master
1206,44551,0,1,24,182,4,33,0,0,153,66,219,2,4,1,5,7,0,0,0,0,0,0,0,66,2461,Widow,Master
1207,69508,1,0,48,824,32,162,42,32,1049,43,1092,2,11,4,11,6,0,0,0,0,0,0,0,40,2751,Together,Graduation
